"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.067320313E0,1.841878444E-1,1.105229855E-1,-8.100700378E-2
1.072320313E0,1.770450324E-1,9.315705299E-2,-3.528594971E-4
1.077320313E0,1.592692435E-1,8.507752419E-2,6.414699554E-2
1.082320313E0,1.496534944E-1,1.314971447E-1,8.997154236E-2
1.087320313E0,1.481144875E-1,1.664848328E-1,1.125364304E-1
1.092320313E0,8.550780267E-2,2.223558426E-1,1.738786697E-1
1.097320313E0,-1.438664198E-1,1.762368679E-1,2.779560089E-1
1.102320313E0,-6.627556682E-2,6.112599373E-2,2.591238022E-1
1.107320313E0,3.114427626E-1,5.733728409E-2,6.928825378E-2
1.112320313E0,2.916694582E-1,1.589136124E-1,-1.413688660E-1
1.117320313E0,-3.038325347E-2,2.260916233E-1,-2.223062515E-1
1.122320313E0,2.629890665E-2,2.366299629E-1,-1.713523865E-1
1.127320313E0,-3.215316311E-2,1.959156990E-1,1.014785767E-1
1.132320313E0,-1.830407679E-1,6.708240509E-2,3.741283417E-1
1.137320313E0,-8.109966666E-2,-8.563041687E-3,4.510917664E-1
1.142320313E0,-1.048076525E-2,-4.263186455E-2,3.303642273E-1
1.147320313E0,1.678513139E-1,-1.106619835E-1,3.542518616E-2
1.152320313E0,3.899821937E-1,-2.041739225E-1,-3.189525604E-1
1.157320313E0,4.633808732E-1,-2.981872559E-1,-4.932909012E-1
1.162320313E0,3.720512092E-1,-2.943143845E-1,-3.852643967E-1
1.167320313E0,2.625134289E-1,-2.039753199E-1,-2.000818253E-1
1.172320313E0,1.829451919E-1,-6.692147255E-2,-8.608627319E-2
1.177320313E0,1.338804513E-1,2.798962593E-2,-2.219581604E-2
1.182320313E0,9.506371617E-2,7.346415520E-2,1.486015320E-2
1.187320313E0,7.493222505E-2,6.782031059E-2,6.127071381E-2
1.192320313E0,1.240499094E-1,8.644819260E-3,1.069641113E-1
1.197320313E0,1.532773077E-1,-5.480480194E-2,1.185407639E-1
1.202320313E0,1.601761729E-1,-1.167788506E-1,1.264600754E-1
1.207320313E0,1.295562685E-1,-1.286001205E-1,1.454849243E-1
1.212320313E0,-7.926450670E-2,-1.142029762E-1,4.116163254E-1
1.217320313E0,-5.755367279E-1,-6.852412224E-2,7.049341202E-1
1.222320313E0,-6.068937778E-1,-4.603958130E-2,5.157098770E-1
1.227320313E0,-3.647532761E-1,-3.695654869E-2,2.639160156E-1
1.232320313E0,-3.128037751E-1,8.549690247E-3,3.309440613E-2
1.237320313E0,-3.898328841E-1,2.752447128E-2,-1.597547531E-1
1.242320313E0,-4.988194108E-1,3.211808205E-2,-2.033996582E-1
1.247320313E0,-5.726125240E-1,3.903603554E-2,-1.942710876E-1
1.252320313E0,-5.938679576E-1,5.649161339E-2,-1.679000854E-1
1.257320313E0,-6.996181011E-1,9.326505661E-2,-1.769065857E-2
1.262320313E0,-8.982763290E-1,1.775183678E-1,1.416835785E-1
1.267320313E0,-1.017151237E0,2.079021931E-1,1.971693039E-1
1.272320313E0,-9.177333713E-1,1.708478928E-1,1.161537170E-1
1.277320313E0,-6.862699986E-1,1.200604439E-1,-7.344150543E-2
1.282320313E0,-5.506106019E-1,8.347368240E-2,-2.376670837E-1
1.287320313E0,-5.406253338E-1,7.766771317E-2,-2.671327591E-1
1.292320313E0,-5.450859070E-1,6.004142761E-2,-2.599868774E-1
1.297320313E0,-4.679138660E-1,5.949902534E-2,-2.595148087E-1
1.302320313E0,-3.599682450E-1,7.136750221E-2,-2.289018631E-1
1.307320313E0,-2.872816324E-1,7.168316841E-2,-2.817707062E-1
1.312320313E0,-1.583674401E-1,9.443402290E-2,-4.853324890E-1
1.317320313E0,4.164204746E-2,8.459663391E-2,-7.647409439E-1
1.322320313E0,1.099746749E-1,3.073883057E-2,-8.329982758E-1
1.327320313E0,4.479841292E-1,1.871418953E-2,-9.968442917E-1
1.332320313E0,2.805745006E-1,-1.019692421E-1,-8.792533875E-1
1.337320313E0,1.655774713E-1,-2.043287754E-1,-7.063007355E-1
1.342320313E0,1.372933388E-1,-2.456624508E-1,-6.242132187E-1
